Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMAGE URN"
urn:cts:greekLit:tlg0012.tlg001.msA:24.55,"urn:cite:hmt:vaimg.VA312RN-0482@0.2213,0.1906,0.4079,0.0228"
urn:cts:greekLit:tlg0012.tlg001.msA:24.56,"urn:cite:hmt:vaimg.VA312RN-0482@0.2203,0.211,0.3758,0.0229"
urn:cts:greekLit:tlg0012.tlg001.msA:24.57,"urn:cite:hmt:vaimg.VA312RN-0482@0.2266,0.2317,0.3881,0.0228"
urn:cts:greekLit:tlg0012.tlg001.msA:24.58,"urn:cite:hmt:vaimg.VA312RN-0482@0.201,0.2518,0.4404,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:24.59,"urn:cite:hmt:vaimg.VA312RN-0482@0.2238,0.2697,0.3746,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:24.60,"urn:cite:hmt:vaimg.VA312RN-0482@0.2166,0.2874,0.4262,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:24.61,"urn:cite:hmt:vaimg.VA312RN-0482@0.2163,0.3049,0.3931,0.0237"
urn:cts:greekLit:tlg0012.tlg001.msA:24.62,"urn:cite:hmt:vaimg.VA312RN-0482@0.2206,0.3261,0.3984,0.0194"
urn:cts:greekLit:tlg0012.tlg001.msA:24.63,"urn:cite:hmt:vaimg.VA312RN-0482@0.2176,0.3415,0.4229,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:24.64, "urn:cite:hmt:vaimg.VA312RN-0482@0.215,0.3634,0.448,0.0254"
urn:cts:greekLit:tlg0012.tlg001.msA:24.65, "urn:cite:hmt:vaimg.VA312RN-0482@0.215,0.3813,0.3967,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:24.66, "urn:cite:hmt:vaimg.VA312RN-0482@0.215,0.3981,0.3967,0.0261"
urn:cts:greekLit:tlg0012.tlg001.msA:24.67, "urn:cite:hmt:vaimg.VA312RN-0482@0.215,0.4173,0.4146,0.0261"
urn:cts:greekLit:tlg0012.tlg001.msA:24.68, "urn:cite:hmt:vaimg.VA312RN-0482@0.2205,0.4386,0.4105,0.0261"
urn:cts:greekLit:tlg0012.tlg001.msA:24.69, "urn:cite:hmt:vaimg.VA312RN-0482@0.2196,0.4579,0.4105,0.0216"
urn:cts:greekLit:tlg0012.tlg001.msA:24.70, "urn:cite:hmt:vaimg.VA312RN-0482@0.2187,0.4781,0.426,0.0223"
urn:cts:greekLit:tlg0012.tlg001.msA:24.71, "urn:cite:hmt:vaimg.VA312RN-0482@0.2177,0.4957,0.3963,0.0199"
